#{"t_start": 1700449072.562019, "env_id": "None"}
r,l,t
556.367696,501,0.451418
526.855743,501,0.819788
598.183957,501,1.190677
552.800891,501,1.565942
833.667609,501,3.368326
817.044859,501,3.712144
804.7526,501,4.054014
829.728567,501,4.403793
1051.598092,501,5.863232
1064.848122,501,6.206747
1062.170783,501,6.550941
1057.134832,501,6.893249
1080.262578,501,8.344527
1095.998689,501,8.687033
1082.173836,501,9.028848
1093.510916,501,9.400678
1122.767603,501,11.424355
1177.434623,501,11.794741
1146.714875,501,12.165516
1139.030091,501,12.511474
1254.897298,501,14.094558
1278.802587,501,14.437783
1179.33841,501,14.780913
1254.608011,501,15.126087
1102.871592,501,16.571196
879.960041,501,16.918275
843.761673,501,17.278094
930.52834,501,17.632541
966.292519,501,19.092778
1071.625506,501,19.432921
1213.003531,501,19.776385
1046.866886,501,20.118951
1110.210115,501,21.606498
1425.46702,501,21.946757
1334.553162,501,22.286792
1229.344244,501,22.627101
1271.694638,501,24.073397
1401.100274,501,24.41429
1379.469262,501,24.755795
1358.888449,501,25.095706
1375.348038,501,26.53048
1490.164839,501,26.870863
1520.252441,501,27.210711
1518.341113,501,27.550464
1475.141623,501,28.967363
1562.492035,501,29.307832
1563.717281,501,29.646579
1582.534933,501,29.985139
1515.442785,501,30.322387
1550.475366,501,31.869818
1530.119347,501,32.211922
1512.276466,501,32.55182
1516.784464,501,32.891644
1571.15115,501,34.439286
1553.1929,501,34.794035
1556.09275,501,35.148463
1525.651116,501,35.500384
1529.808669,501,37.485417
1545.163844,501,37.856773
1553.297502,501,38.209385
1576.679451,501,38.543051
1525.421898,501,40.374886
1595.083745,501,40.74157
1527.862082,501,41.089175
1590.732,501,41.462954
1577.07512,501,43.250957
1556.729312,501,43.582628
1587.488646,501,43.940267
1543.781011,501,44.291595
1528.924268,501,45.793413
1482.493685,501,46.124574
1502.554919,501,46.455266
1523.490301,501,46.78588
1534.651463,501,48.233315
1534.623862,501,48.56559
1566.341654,501,48.896393
1537.128896,501,49.226613
1559.817054,501,50.679339
1567.447973,501,51.009524
1545.115054,501,51.339229
1563.932112,501,51.668633
1552.421824,501,53.14977
1571.516417,501,53.481292
1566.500739,501,53.812698
1583.15173,501,54.143989
1577.822918,501,55.531862
1581.938198,501,55.868597
1573.832723,501,56.201495
1583.774835,501,56.538319
1557.495989,501,57.928142
1597.747714,501,58.261596
1555.524495,501,58.595034
1551.153672,501,58.92728
1578.591927,501,59.25986
1591.632791,501,60.623713
1596.641883,501,60.957262
1570.788396,501,61.292231
1555.694579,501,61.623731
1568.276264,501,63.050645
1550.889285,501,63.380538
1560.518807,501,63.711911
1566.249989,501,64.042112
1571.445903,501,65.477207
1576.069827,501,65.808952
1569.662768,501,66.140615
1535.189053,501,66.472304
1567.109629,501,67.923299
1571.307938,501,68.254081
1577.276914,501,68.583318
1580.931922,501,68.91245
1575.149626,501,70.378157
1530.233404,501,70.711216
1571.519251,501,71.041304
1533.56131,501,71.370252
1479.293205,501,72.856718
1584.502282,501,73.187853
1552.652451,501,73.517257
1566.997631,501,73.847056
1563.092716,501,75.363697
1544.346112,501,75.693256
1577.998475,501,76.023327
1580.906749,501,76.353002
1592.320553,501,77.805964
1554.1073,501,78.136219
1570.029712,501,78.465861
1593.00392,501,78.795086
1558.44939,501,80.280331
1569.7221,501,80.61079
1529.250333,501,80.941082
1576.38325,501,81.273839
1552.522467,501,82.77148
1565.665569,501,83.113995
1595.723208,501,83.479858
1588.786734,501,83.842637
1560.360185,501,85.25974
1531.427988,501,85.608152
1514.52345,501,85.955609
1531.607728,501,86.303826
1535.950599,501,88.217164
1530.752713,501,88.562602
1541.489879,501,88.893039
1539.855211,501,89.221587
1532.259642,501,89.55117
1528.551814,501,91.026498
1552.623544,501,91.361545
1497.17604,501,91.69433
1527.197765,501,92.047292
1545.919999,501,93.520835
1552.452326,501,93.850315
1563.01777,501,94.179477
1578.114622,501,94.509706
1584.511274,501,95.96888
1575.136171,501,96.327058
1576.987503,501,96.700356
1583.164757,501,97.061246
1574.882425,501,98.778198
1606.452774,501,99.136207
1589.029899,501,99.484848
1605.893996,501,99.852192
1597.461018,501,101.728695
1587.979751,501,102.072407
1599.734479,501,102.417749
1598.24612,501,102.780012
