

*******************************************************************************
Ephemeris / WWW_USER Sun Nov 19 19:43:56 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: THEMIS-C (spacecraft) (-193)    {source: THEMIS-C_merged}
Center body name: Moon (301)                      {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2023-Oct-26 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Oct-27 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 1737.4, 1737.4, 1737.4 km       {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460243.500000000, A.D. 2023-Oct-26 00:00:00.0000,  9.289980333832209E+02,  4.109732606452812E+03, -7.601246271279715E+02,
2460243.500694444, A.D. 2023-Oct-26 00:01:00.0000,  8.826547867267509E+02,  4.174449690531360E+03, -7.729997625330888E+02,
2460243.501388889, A.D. 2023-Oct-26 00:02:00.0000,  8.361203941838467E+02,  4.238262899096322E+03, -7.857075181069096E+02,
2460243.502083333, A.D. 2023-Oct-26 00:03:00.0000,  7.894116023335955E+02,  4.301192232927758E+03, -7.982514144604913E+02,
2460243.502777778, A.D. 2023-Oct-26 00:04:00.0000,  7.425441296237404E+02,  4.363257139096876E+03, -8.106348783277183E+02,
2460243.503472222, A.D. 2023-Oct-26 00:05:00.0000,  6.955327326320112E+02,  4.424476515908806E+03, -8.228612510875854E+02,
2460243.504166667, A.D. 2023-Oct-26 00:06:00.0000,  6.483912723741960E+02,  4.484868727984937E+03, -8.349337833213797E+02,
2460243.504861111, A.D. 2023-Oct-26 00:07:00.0000,  6.011327722701244E+02,  4.544451614696517E+03, -8.468556429301304E+02,
2460243.505555556, A.D. 2023-Oct-26 00:08:00.0000,  5.537694726819755E+02,  4.603242503460378E+03, -8.586299098484379E+02,
2460243.506250000, A.D. 2023-Oct-26 00:09:00.0000,  5.063128825200838E+02,  4.661258225549950E+03, -8.702595833202915E+02,
2460243.506944444, A.D. 2023-Oct-26 00:10:00.0000,  4.587738295521121E+02,  4.718515124273766E+03, -8.817475793616408E+02,
2460243.507638889, A.D. 2023-Oct-26 00:11:00.0000,  4.111624991953140E+02,  4.775029071808164E+03, -8.930967353661532E+02,
2460243.508333333, A.D. 2023-Oct-26 00:12:00.0000,  3.634884798466810E+02,  4.830815481985408E+03, -9.043098128253715E+02,
2460243.509027778, A.D. 2023-Oct-26 00:13:00.0000,  3.157607974205748E+02,  4.885889323229675E+03, -9.153894953098443E+02,
2460243.509722222, A.D. 2023-Oct-26 00:14:00.0000,  2.679879535401124E+02,  4.940265132056372E+03, -9.263383939540585E+02,
2460243.510416667, A.D. 2023-Oct-26 00:15:00.0000,  2.201779597910936E+02,  4.993957023575632E+03, -9.371590468576271E+02,
