

*******************************************************************************
Ephemeris / WWW_USER Fri Nov 17 09:16:00 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: LRO (spacecraft) (-85)          {source: LRO_merged}
Center body name: Moon (301)                      {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2023-Oct-26 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Oct-27 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 1737.4, 1737.4, 1737.4 km       {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460243.500000000, A.D. 2023-Oct-26 00:00:00.0000, -1.367826494393987E+03,  1.212117052938224E+03, -1.635647143704197E+02,
2460243.500694444, A.D. 2023-Oct-26 00:01:00.0000, -1.376684536242683E+03,  1.209857951102684E+03, -6.607017965744876E+01,
2460243.501388889, A.D. 2023-Oct-26 00:02:00.0000, -1.381603635324922E+03,  1.204135919485541E+03,  3.161302964431110E+01,
2460243.502083333, A.D. 2023-Oct-26 00:03:00.0000, -1.382563399404986E+03,  1.194961684890668E+03,  1.292053020958324E+02,
2460243.502777778, A.D. 2023-Oct-26 00:04:00.0000, -1.379554610948195E+03,  1.182355958461162E+03,  2.264264160812141E+02,
2460243.503472222, A.D. 2023-Oct-26 00:05:00.0000, -1.372579329248692E+03,  1.166349324380234E+03,  3.229963282327237E+02,
2460243.504166667, A.D. 2023-Oct-26 00:06:00.0000, -1.361650989221584E+03,  1.146982183846231E+03,  4.186359186926034E+02,
2460243.504861111, A.D. 2023-Oct-26 00:07:00.0000, -1.346794474277936E+03,  1.124304676103203E+03,  5.130677435173510E+02,
2460243.505555556, A.D. 2023-Oct-26 00:08:00.0000, -1.328046156350698E+03,  1.098376580084645E+03,  6.060168017967800E+02,
2460243.506250000, A.D. 2023-Oct-26 00:09:00.0000, -1.305453896543535E+03,  1.069267201257460E+03,  6.972113231075996E+02,
2460243.506944444, A.D. 2023-Oct-26 00:10:00.0000, -1.279077000437072E+03,  1.037055246898119E+03,  7.863835790968087E+02,
2460243.507638889, A.D. 2023-Oct-26 00:11:00.0000, -1.248986123239272E+03,  1.001828691057108E+03,  8.732707203435268E+02,
2460243.508333333, A.D. 2023-Oct-26 00:12:00.0000, -1.215263178233057E+03,  9.636842995110892E+02,  9.576153124902796E+02,
2460243.509027778, A.D. 2023-Oct-26 00:13:00.0000, -1.178001109735516E+03,  9.227276639713336E+02,  1.039166403124720E+03,
2460243.509722222, A.D. 2023-Oct-26 00:14:00.0000, -1.137303469305334E+03,  8.790739526483719E+02,  1.117681330909695E+03,
2460243.510416667, A.D. 2023-Oct-26 00:15:00.0000, -1.093284209759615E+03,  8.328470455944916E+02,  1.192925969762824E+03,
